[header]
width=25
height=18
tilewidth=32
tileheight=32

[tilesets]
tileset=countryside.png,32,32,0,0

[layer]
type=块层 1
data=
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,
2,1,1,4,4,4,4,4,1,2,1,2,2,2,3,3,4,4,4,4,4,3,3,4,2,
2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,
2,1,4,4,4,4,1,2,1,2,2,4,4,4,4,4,4,2,1,4,4,4,4,1,2,
2,1,4,1,1,1,1,2,2,2,4,4,3,4,4,3,4,4,4,1,1,4,4,1,2,
2,1,4,1,2,1,3,4,2,4,1,2,1,3,4,3,3,4,4,1,3,4,2,1,2,
2,1,4,2,2,1,3,4,4,2,1,1,3,3,4,1,3,4,1,1,3,1,2,3,2,
2,1,4,2,1,3,1,3,4,4,2,2,2,2,2,3,3,4,4,4,1,1,4,4,2,
2,1,4,4,4,3,3,1,3,4,4,4,4,4,4,3,4,1,4,3,3,3,1,4,2,
2,1,1,2,1,4,3,3,3,3,3,3,3,4,3,4,4,3,1,3,4,1,2,1,2,
2,1,1,1,2,3,2,1,1,3,2,3,2,4,2,1,3,2,1,1,4,3,4,1,2,
2,1,1,1,1,2,4,4,3,3,1,1,1,1,1,3,3,3,1,1,4,1,4,1,2,
2,1,1,1,1,3,1,4,3,4,3,1,1,1,1,2,2,1,3,3,4,1,4,1,2,
2,1,1,1,1,2,2,2,1,1,4,4,4,1,1,1,1,1,2,2,4,1,4,1,2,
2,1,1,1,1,1,1,2,3,1,4,1,2,4,4,2,2,2,2,2,4,4,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2

